세부 항목,규제 내용
6.6.2.2 사용자 접근 권한 부여,"조직은 정보시스템과 그 안에 포함된 PII에 접근 권한이 부여된 사용자에 대해, 정확하고 최신의 사용자 프로필 기록을 유지해야 함. 이 프로필에는 사용자 ID를 포함하여, 승인된 접근을 보장하기 위해 필요한 기술적 통제를 구현하는 데 필요한 데이터가 포함됨. 개별 사용자 접근 ID를 구현하면, 적절히 구성된 시스템이 누가 PII에 접근했는지, 그리고 추가·삭제·변경을 어떤 작업을 했는지 식별할 수 있음. 이것은 조직을 보호할 뿐만 아니라, 사용자가 자신이 처리한 것과 처리하지 않은 것을 구분할 수 있게 해 사용자를 보호함. 조직이 PII 처리 서비스를 제공하는 경우, 고객이 접근 관리의 일부 또는 전부를 책임질 수 있음. 이 경우 조직은 고객에게 접근 관리 수행 수단(예: 접근 관리·종료 권한을 제공하는 관리자 권한)을 제공해야 하며, 이러한 사항은 반드시 문서화해야 함."
6.7.1.1 암호화 통제 사용에 관한 정책,"일부 관할 지역에서는 건강정보, 주민등록번호, 여권번호, 운전면허번호 등 특정 유형의 PII를 보호하기 위해 암호화 사용을 의무화할 수 있음. 조직은 자신이 처리하는 PII를 보호하기 위해 어떤 상황에서 암호화를 사용하는지 고객에게 정보를 제공해야 함. 또한 고객이 자체적으로 암호화 보호를 적용할 수 있도록 지원하는 기능이 있을 경우, 이에 대한 정보도 고객에게 제공해야 함."
6.8.2.7 장비의 안전한 폐기 또는 재사용,"조직은 저장 공간이 재할당될 때, 그 저장 공간에 이전에 존재하던 PII가 접근되지 않도록 보장해야 함. 정보시스템에 저장된 PII를 삭제할 때, 성능 문제로 인해 해당 PII를 명시적으로 완전히 삭제하는 것이 비현실적인 경우가 있을 수 있음. 이 경우, 다른 사용자가 해당 PII에 접근할 수 있는 위험이 발생하며, 이를 방지하기 위해 특정 기술적 조치가 필요함. 또한 보안 폐기나 재사용을 위해, PII를 포함할 수 있는 저장 매체가 있는 장비는 실제로 PII가 포함되어 있는 것처럼 취급해야 함."
6.9.4.1 이벤트 로깅,"조직은 이벤트 로그를 검토하는 프로세스를 마련해야 하며, 이는 지속적이고 자동화된 모니터링·알림 시스템을 통해 수행하거나, 그렇지 못할 경우 문서화된 주기에 따라 수동으로 검토해야 함. 목적은 이상 행위 식별 및 대응 방안 제안임.

가능하다면 이벤트 로그에는 PII 접근이 기록되어야 하며, 다음이 포함되어야 함:
- 누가(by whom)
- 언제(when)
- 어떤 정보주체(PII principal)의 PII에 접근했는지
- 어떤 변화(추가, 수정, 삭제)가 있었는지

여러 서비스 제공자가 관련 서비스 제공에 관여하는 경우, 이 지침을 이행하는 역할이 다양하거나 공유될 수 있으며, 이 역할은 문서화되고, 로그 접근에 관한 합의도 포함되어야 함.

PII processor에 대한 구현 가이드:
- 로그 정보를 고객에게 언제, 어떻게 제공할지에 대한 기준을 정의하고 고객에게 제공해야 함.
- 조직이 고객에게 로그 접근 권한을 허용하는 경우, 고객은 자신의 활동 관련 로그만 접근 가능해야 함.
- 다른 고객의 로그에 접근하거나 로그를 수정할 수 없어야 함."
6.9.4.2 로그 정보 보호,"보안 모니터링 및 운영 진단 등을 위해 기록되는 로그 정보에는 PII(개인식별정보)가 포함될 수 있음. 따라서 로그 정보가 의도된 목적 외에는 사용되지 않도록 접근통제(ISO/IEC 27002:2013, 9.2.3 참조) 같은 조치를 마련해야 함. 또한 로그 정보는 보존 일정에 따라 삭제 또는 비식별화되도록, 가능하다면 자동화된 절차를 마련해야 함."
6.11.1.2 공용 네트워크에서의 애플리케이션 서비스 보호,"조직은 신뢰할 수 없는 데이터 전송 네트워크를 통해 PII(개인식별정보)가 전송될 경우, 반드시 암호화된 상태로 전송되도록 보장해야 함. 신뢰할 수 없는 네트워크에는 공용 인터넷이나 조직의 운영 통제 범위 밖에 있는 기타 네트워크가 포함됨."
6.11.3.1 테스트 데이터 보호,"PII(개인식별정보)는 테스트 목적으로 사용되어서는 안 되며, 그 대신 가짜 또는 합성(synthetic) PII를 사용해야 함. 테스트에서 PII 사용이 불가피한 경우, 운영 환경과 동일한 수준의 기술적·관리적 보호조치를 적용해 위험을 최소화해야 함. 만약 동일한 조치가 불가능하다면, 반드시 위험 평가를 수행하고 그 결과를 토대로 적절한 보완 통제를 선정해야 함."
6.13.1.5 정보보호 사고 대응 /Controller,"PII가 포함된 event가 발생하면, 조직은 정보보안 사고 관리 프로세스의 일환으로 해당 event가 대응이 필요한 PII 침해에 해당하는지를 검토해야 함. 단순한 이벤트가 반드시 이러한 검토를 촉발하는 것은 아님.

정보보안 이벤트는 반드시 PII 또는 조직의 PII 저장 장비/시설에 대한 무단 접근이나 그 높은 가능성을 의미하지는 않음. 여기에 포함될 수 있는 것은 방화벽이나 엣지 서버에 대한 ping, 브로드캐스트 공격, 포트 스캔, 로그인 실패 시도, 서비스 거부(DoS) 공격, 패킷 스니핑 등이 있음.

PII 침해가 발생했을 경우, 대응 절차에는 관련된 통지와 기록이 포함되어야 함. 일부 관할구역에서는 침해가 발생했을 때 감독 당국(supervisory authority)과 PII 정보주체에게 이를 통지해야 하는 경우를 정의하고 있음. 이러한 통지는 명확해야 하며, 요구될 수 있음.

통지에는 다음이 포함될 수 있음:
- 추가 정보를 얻을 수 있는 연락처
- 침해의 내용과 그로 인한 가능한 결과 설명
- 사건에 관련된 개인 수 및 관련 기록 수를 포함한 침해의 설명
- 취해진 또는 계획된 조치

PII 침해가 발생했을 경우, 규제적·포렌식 목적의 보고를 위해 충분한 정보가 담긴 기록이 유지되어야 함. 기록에는 예를 들어 다음이 포함되어야 함:
- 사건 설명
- 사건 기간
- 사건의 결과
- 보고자 이름
- 보고를 받은 사람
- 사건 해결을 위해 취해진 조치(담당자와 복구된 데이터 포함)
- 사건이 PII의 불가용성, 손실, 공개, 변조를 초래했음을 나타내는 사실

침해 이후 기록에는 침해된 PII의 설명, 수행된 통지, 정보주체·규제 기관·고객에게 통지하기 위해 취해진 조치가 포함되어야 함."
6.15.2.3 기술적 컴플라이언스 검토,"조직은 보안 정책 및 표준 준수 여부에 대한 기술적 검토의 일환으로, PII 처리와 관련된 도구와 구성요소를 검토하는 방법을 포함해야 함.
예를 들어 다음을 포함할 수 있음:
- 지속적 모니터링을 통해 허용된 처리만 수행되고 있는지 확인
- 특정 침투 테스트나 취약점 테스트 수행 (예: 비식별화된 데이터셋을 “침입자 테스트”에 적용하여, 비식별화 방법이 조직의 요구사항을 충족하는지 검증)"
7.2.5 프라이버시 영향평가(PIA),"조직은 새로운 PII 처리나 기존 처리 변경이 계획될 때마다, 개인정보 영향 평가(PIA)의 필요성을 검토하고 적절히 수행해야 함. PII 처리는 정보주체에게 위험을 발생시키며, 이러한 위험은 PIA를 통해 평가되어야 함. 

일부 관할권에서는 PIA를 반드시 수행해야 하는 상황을 규정하고 있으며, 그 기준에는 다음이 포함될 수 있음:
- 법적 효과를 발생시키는 자동화된 의사결정
- 대규모 민감정보 처리 (예: 건강, 인종·민족, 정치적 의견, 종교·철학적 신념, 노동조합 가입, 유전자·생체정보 등)
- 대규모 공공장소 모니터링

조직은 PIA 수행에 필요한 요소를 결정해야 하며, 여기에는 처리되는 PII의 유형 목록, 저장 위치, 전송 위치가 포함될 수 있음. 또한 데이터 흐름도와 데이터 맵은 이 맥락에서 유용하게 활용될 수 있음(7.2.8 참조)."
7.2.8 PII 처리 관련 기록,"조직은 PII 처리와 관련된 의무를 이행하기 위해 필요한 기록을 결정하고 안전하게 보존해야 함. PII 처리 기록을 유지하는 방법의 하나는 조직이 수행하는 PII 처리 활동에 대한 목록 또는 인벤토리를 보관하는 것임.

이 인벤토리에는 다음과 같은 항목이 포함될 수 있음:
- 처리의 유형
- 처리 목적
- PII 및 PII 정보주체(예: 아동)의 범주 설명
- PII가 공개되었거나 공개될 수 있는 수신자 범주(제3국이나 국제기구 수신자 포함)
- 기술적·조직적 보안 조치의 일반 설명
- 개인정보 영향평가(PIA) 보고서

또한, 이 인벤토리에는 정확성과 완전성을 보장할 책임자(owner)가 있어야 함."
7.3.1 PII 정보주체에 대한 의무 식별 및 이행,"조직은 PII 정보주체의 PII 처리와 관련된 법적, 규제적, 비즈니스적 의무를 결정하고 문서화하며, 이를 이행할 수 있는 수단을 제공해야 함. 이러한 의무와 수단은 관할권마다 다를 수 있으므로, 조직은 이를 정보주체가 쉽게 접근 가능하고 적시에 이용할 수 있도록 보장해야 함. 또한, 조직은 자신들의 의무가 어느 범위까지, 어떤 방식으로 이행되는지를 명확히 문서화해 정보주체에게 제공해야 함. 이와 함께 정보주체가 요청을 제기할 수 있는 최신의 연락 창구를 제공해야 하며, 이는 PII 수집 또는 동의 획득 방식(예: 이메일, 웹사이트)과 동일해야 함."
7.3.6 접근·정정·삭제 제공,"조직은 PII 정보주체가 자신의 PII에 대해 접근·정정·삭제를 요청할 수 있도록 정책, 절차 및/또는 메커니즘을 구현해야 함. 조직은 요청을 받은 경우 부당한 지연 없이 처리해야 하며, 응답 시간을 정의하고 이에 따라 요청을 처리해야 함. 정정·삭제는 시스템 전반 및 승인된 사용자에게 반영되어야 하며, PII가 전달된 제3자에게도 전파되어야 함(7.3.7 참조). 또한, 데이터 정확성이나 정정 여부에 대한 분쟁이 발생할 경우를 위한 정책·절차도 마련해야 함. 정정이 불가능한 경우에는 그 이유를 정보주체에게 고지해야 함. 일부 관할권은 접근·정정·삭제 요청의 시기와 방법에 제한을 두므로, 조직은 이를 파악하고 최신 상태로 유지해야 함."
7.3.8 처리된 PII 사본 제공,"조직은 정보주체(PII Principal)가 요청할 경우, 그 사람의 PII 사본을 제공할 수 있어야 함. 제공되는 사본은 구조화된 형식(예: CSV, JSON 등)으로, 일반적으로 많이 쓰이고 정보주체가 접근 가능한 형태여야 함. 일부 국가에서는, 제공되는 사본이 이식성(Portability)을 보장해야 한다고 규정함. 즉, 정보주체 본인이나 다른 컨트롤러(조직)에게 기계가 읽을 수 있는 형식으로 바로 이전할 수 있어야 한다는 의미임. 제공하는 사본은 반드시 해당 정보주체와 직접 관련된 데이터여야 함. 만약 요청된 데이터가 이미 보존·삭제 정책에 따라 삭제된 경우, 컨트롤러는 정보주체에게 “이미 삭제되었다”는 사실을 알려야 함. 데이터가 이미 비식별화되어 더 이상 개인을 특정할 수 없다면, 이 규정을 이행하기 위해 억지로 재식별을 시도해서는 안됨. 다만, 일부 국가에서는 정당한 요청 시 정보주체로부터 추가 정보를 받아 재식별을 허용하기도 함. 기술적으로 가능하다면, 정보주체 요청에 따라 조직 간 데이터 직접 전송(A사 → B사)도 가능해야 함."
7.4.3 정확성과 품질 보장,"조직은 PII가 처리 목적에 필요한 만큼 정확하고, 완전하며, 최신 상태로 유지되도록 보장하고 이를 문서화해야 함. 이는 PII의 전체 생명주기(lifecycle) 동안 적용되어야 함. 조직은 자신이 처리하는 PII의 부정확성을 최소화하기 위한 정책, 절차, 메커니즘을 구현해야 함. 또한 부정확한 PII가 발견될 경우 이를 대응·수정하기 위한 정책, 절차, 메커니즘도 마련해야 함. 이러한 정책·절차·메커니즘은 반드시 문서화된 정보(예: 시스템 기술 설정 등)로 포함되어야 하며, PII 생명주기 전체에 걸쳐 적용되어야 함."
7.4.5 처리 종료 시 PII 비식별화 및 삭제,"조직은 수집 목적에 더 이상 필요하지 않은 PII에 대해서는 지체 없이:

- 삭제하거나,
- 식별 또는 재식별이 불가능한 형태로 변환해야 함.

조직은 더 이상 PII 처리가 예상되지 않을 경우, 이를 삭제할 수 있는 메커니즘을 갖추어야 함. 또는, 일부 비식별화 기법을 적용할 수 있는데, 이 경우에도 결과 데이터가 합리적으로 재식별될 수 없는 수준이어야 함."
7.4.6 임시 파일,"조직은 PII 처리 과정에서 생성된 임시 파일이 문서화된 절차에 따라, 정해진 기간 내에 폐기(삭제 또는 파기)되도록 보장해야 함. 조직은 사용되지 않는 임시 파일이 정의된 기간 내에 삭제되었는지 정기적으로 점검해야 함. 

정보시스템은 정상적인 동작 과정에서 임시 파일을 생성할 수 있는데, 예를 들어:
- 파일 시스템 롤백 저널(journal)
- 데이터베이스 업데이트 시 생성되는 임시 파일
- 애플리케이션 소프트웨어 실행 시 생성되는 임시 파일

임시 파일은 해당 작업이 완료되면 더 이상 필요하지 않지만, 어떤 경우에는 바로 삭제되지 못할 수도 있음. 이 파일들이 사용되는 기간은 항상 결정적이지 않으므로, “가비지 컬렉션(garbage collection)” 절차를 통해 해당 파일을 식별하고 마지막 사용 시점을 기준으로 유지 기간을 결정해야 함."
7.4.7 보존 기간,"조직은 처리 목적에 필요한 기간을 초과하여 PII를 보관해서는 안 됨. 조직은 보관하는 정보에 대해 보관 기간(retention schedule)을 수립·유지해야 하며, 여기에는 “PII를 목적에 필요한 기간 이상 보관하지 않는다”는 원칙이 반영되어야 함. 보관 기간은 법적, 규제적, 비즈니스 요구사항을 모두 고려해야 함. 만약 이러한 요구사항이 서로 충돌한다면, 조직은 위험 평가를 기반으로 한 비즈니스 결정을 내려야 하며, 해당 결정은 반드시 보관 기간 문서에 기록되어야 함."
7.4.9 PII 전송 통제,"조직은 데이터 전송 네트워크를 통해 전송되는 PII(예: 다른 조직으로 전송되는 경우)에 대해, 데이터가 의도된 수신자에게 안전하게 도달하도록 적절한 통제를 적용해야 함.

PII 전송은 반드시 통제되어야 하며, 이를 위해 일반적으로 다음이 요구됨:
- 전송 시스템에 인가된 사용자만 접근 가능하도록 보장,
- 적절한 절차 준수(예: 감사 로그 유지)를 통해,
- PII가 손상되거나 유출되지 않고 올바른 수신자에게 전송되도록 보장."
8.2.2 조직의 목적,"조직은 고객을 대신하여 처리되는 PII가 반드시 고객의 문서화된 지침에 명시된 목적을 위해서만 처리되도록 보장해야 함. 조직과 고객 간 계약에는, 서비스의 목표와 기간이 포함되어야 하며, 이는 이에 국한되지 않음. 고객의 목적을 달성하기 위해, 조직이 고객의 명시적 지침 없이도 기술적 이유로 PII 처리 방법을 결정하는 것이 적절할 수 있음.
예: 네트워크나 처리 용량을 효율적으로 활용하기 위해, 특정 PII 주체의 특성에 따라 특정 처리 자원을 할당하는 경우.

조직은 고객이 목적 명세 및 제한 원칙 준수 여부를 검증할 수 있도록 허용해야 함. 이를 통해 조직 또는 하청업체가 고객의 문서화된 지침 외의 다른 목적으로 PII를 처리하지 않도록 보장함."
8.3.1 PII 정보주체에 대한 의무,"조직은 고객이 PII 정보주체(PII principals)에 대한 의무를 준수할 수 있도록 수단을 제공해야 함. PII controller의 의무는 법률, 규제, 계약에 의해 정의될 수 있으며, 고객이 이러한 의무를 이행하기 위해 조직의 서비스를 활용하는 경우가 있음. 예를 들어, PII의 정정(correction)이나 삭제(deletion)을 적시에 수행하는 것이 해당됨. 고객이 정보 또는 기술적 조치를 조직에 의존해야 하는 경우, 이러한 정보나 기술적 조치가 계약에 명시되어야 함."
8.4.1 임시 파일,"조직은 PII 처리 과정에서 생성된 임시 파일이 문서화된 절차에 따라, 지정된 기간 내에 삭제 또는 파기되도록 보장해야 함. 조직은 사용되지 않는 임시 파일이 정해진 기간 내 삭제되었는지 주기적으로 검증해야 함. 정보시스템은 일반적인 운영 과정에서 임시 파일을 생성할 수 있음. 이러한 파일은 시스템이나 애플리케이션에 따라 다르지만, 예를 들어 파일 시스템 롤백 저널(file system roll-back journals), 데이터베이스 업데이트 시 생성되는 임시 파일, 기타 애플리케이션 소프트웨어의 실행 과정에서 생성되는 임시 파일 등이 포함될 수 있음. 임시 파일은 관련 정보처리 작업이 완료되면 필요하지 않지만, 일부 상황에서는 삭제되지 못할 수도 있음. 이러한 파일이 사용되는 기간은 항상 예측 가능한 것은 아니므로, “가비지 컬렉션(garbage collection)” 절차를 통해 해당 파일을 식별하고 마지막 사용 시점 이후 얼마나 시간이 흘렀는지 확인해야 함."
"8.4.2 PII 반환, 이전 또는 폐기","조직은 PII의 반환(return), 이전(transfer), 폐기(disposal)를 안전한 방식으로 수행할 수 있는 능력을 제공해야 하며, 이와 관련된 정책을 고객에게 공개해야 함. 일정 시점이 되면 PII는 반드시 어떤 형태로든 폐기되어야 함. 이 과정에는 다음이 포함될 수 있음:
- 고객에게 PII를 반환
- 다른 조직이나 PII 컨트롤러(예: 합병 결과)에게 이전
- 삭제 또는 파기
- 비식별화
- 아카이빙

PII의 반환·이전·폐기 기능은 안전한 방식으로 관리되어야 함.

조직은 고객이 계약 하에 처리된 PII가 더 이상 필요하지 않을 때, 이를 저장된 모든 위치(백업 및 비즈니스 연속성 목적 포함)에서 삭제되도록 보장할 수 있어야 함. 또한 조직은 PII 폐기와 관련된 정책을 수립·이행하고, 고객이 요청하면 이 정책을 공개해야 함. 정책은 계약 종료 후 폐기 전까지의 보존 기간(retention period)을 포함해야 하며, 이는 계약의 실수나 누락으로 인해 고객이 PII를 잃지 않도록 보호하기 위함."
8.4.3 PII 전송 통제,"조직은 데이터 전송 네트워크를 통해 전달되는 PII가 의도된 수신자에게 도달하도록 보장하기 위해 적절한 통제를 적용해야 함.

PII 전송은 다음을 통해 통제되어야 함:
- 전송 시스템에 접근할 수 있는 권한 있는 사용자만 허용
- 적절한 절차 준수 (예: 감사 로그 보존 포함)
- PII가 손상 없이 정확한 수신자에게 도달하도록 보장

이러한 전송 통제 요건은 PII 처리자와 고객 간의 계약에 포함될 수 있음. 만약 계약상 전송 관련 요구사항이 없는 경우, 전송 전에 고객으로부터 지침을 받는 것이 적절할 수 있음."
변경 사항은 사용자에게 통보됨,"애플리케이션 기능, 성능 및 서비스 약속에 영향을 미칠 수 있는 변경 사항은 릴리스 노트 또는 구독자 알림을 통해 외부 및 내부 사용자에게 전달된다."
내부 통제 검토,"조직은 Anecdotes 컴플라이언스 플랫폼을 사용하여 내부 통제를 문서화하고 그 효과를 지속적으로 모니터링한다. 내부 통제, 프로세스 및 정책의 효과성과 효율성은 최소 연 1회 경영진이 검토하며, 식별된 결함은 신속히 개선된다."
이벤트 로깅,"애플리케이션 및/또는 인프라 계층에서 다음 이벤트를 모니터링하기 위해 로깅이 활성화된다: - 로그인 시도 - 데이터 삭제 - 애플리케이션 및 시스템 오류 - 소프트웨어 및 구성 설정 변경 - 시스템 파일, 구성 파일 또는 콘텐츠 파일 변경. 로그는 IT 운영팀에서 모니터링하며, 중요한 문제는 조사 후 신속히 해결된다."
로그 접근 제한,로그 구성을 수정 및 변경할 수 있는 권한은 직무 책임에 따라 적절한 인원으로 제한된다.
시스템 모니터링,"모니터링 도구를 사용하여 인프라 가용성, 처리 용량 및 시스템 성능을 지속적으로 모니터링한다. 사전에 정의된 임계값에 도달하면 경고가 생성된다. 식별된 문제는 조사 후 신속히 해결된다."
인프라 접근 제한,"범위 내 운영 인프라(클라우드 플랫폼, 서버, 데이터베이스)에 대한 관리자 권한 접근은 직무 책임에 따라 승인된 사용자로 제한된다."
퇴직 직원의 접근 권한 철회,"범위 내 운영 시스템(애플리케이션, 데이터베이스, 서버 및 클라우드 플랫폼)에 대한 논리적 접근은 퇴직 직원의 경우 신속하게 제거된다. 회사 자산은 퇴직 절차의 일환으로 반환된다."
고객 데이터 분리,"시스템 구성요소는 고객이 다른 고객의 데이터에 접근하지 못하도록 설정되어 있으며, 각 고객이 자신의 환경에만 접근하도록 제한된다."
다중 인증(MFA) 적용,"조직의 운영 시스템(클라우드 플랫폼, 서버, 데이터베이스)에 관리자 접근 권한을 가진 사용자 계정에는 다중 인증(MFA)이 적용된다."
SDLC 내 직무 분리,"소스 코드 버전, 빌드, 배포, 개발 관리 및 내부 커뮤니케이션 도구에 대한 접근은 승인된 인원에게만 제한된다."
백업 및 복구 시험 및 모니터링,"데이터베이스의 전체 백업은 자동화된 시스템을 통해 매일 수행되며, 오프사이트 위치에 복제된다. 백업은 자동화된 시스템으로 실패 여부가 모니터링된다. 백업 복원 테스트는 매년 수행되어 백업 정보의 무결성을 확인하며, 식별된 문제는 신속히 해결된다."
암호화 키 관리,저장 및 전송 중 데이터를 보호하기 위해 사용되는 암호화 키는 조직의 암호화 정책에 따라 저장 및 관리된다. 암호화 키 접근은 승인된 인원으로 제한된다.
저장 데이터 암호화,고객 데이터는 저장 및 백업 시 강력한 암호화 기술을 사용하여 암호화된다.
전송 데이터 암호화,전송 계층 보안(TLS)은 조직의 애플리케이션 서버와 인터넷 간 송수신되는 데이터를 보호하는 데 사용된다.
데이터 유출 관리,"확인된 사고 및/또는 데이터 유출에 대한 통지는 문서화되고 해결되며, 조직의 프라이버시 및 기밀 유지 약속을 준수하기 위해 합리적인 기간 내에 영향을 받는 당사자(고객, 정보주체, 직원, 규제기관 및 기타 해당자)에게 전달된다."
사고 관리 프로세스,"보안 및 기타 서비스 약속과 관련된 사고는 기록, 추적되며 영향을 받는 당사자에게 통보된다. 사고는 신속히 해결된다. 경영진은 사고 대응 활동에서 얻은 교훈을 사고 대응 절차에 지속적으로 반영한다."
변경 관리 승인,"범위 내 시스템에 대한 변경 사항은 운영 환경과 분리된 환경에서 개발·테스트된다. 테스트는 개발 프로세스와 독립적인 인력이 수행하며, 운영 환경에 배포되기 전 검토된다."
변경 관리 프로세스,"범위 내 시스템(애플리케이션, 서버, 데이터베이스)의 코드 및 구성 변경은 계획, 설계, 테스트, 승인 및 구현을 포함하는 공식적이고 문서화된 프로세스를 따른다."
코드 변경 문서화,애플리케이션 소스 코드의 버전 관리를 유지하고 운영 환경에 변경 사항을 적용하기 위해 변경 관리 소프트웨어가 사용된다. 이 소프트웨어는 운영 소스 코드에 이루어진 모든 변경을 기록한다.
긴급 변경 프로세스,"긴급 변경은 정의된 긴급 변경 프로세스를 따른다. 긴급 변경은 운영 환경에 적용되기 전에 테스트되며, 적용 후 공식적으로 검토 및 승인된다."

