위협 그룹,위협
권한/계정 관리 문제,"내부자 과도한 권한 및 오남용;권한 없는 사용자 개인정보 열람;암호키 권한 오남용으로 인한 복구 불능·서비스 중단;검토 누락으로 인한 무단 변경 반영;식별자 공유·추측으로 인한 계정 도용 및 추적 불가;권한 변경 이력 미기록으로 인한 권한 오남용;개발 및 운영 권한 혼용;장기 미사용 계정 잔존;개인정보 무단 접근 및 장기보관"
개인정보/민감정보 평문 노출,"데이터 저장·전송 구간 암호화 미적용으로 인한 개인정보/민감정보/고유식별정보 평문 노출;로그 및 화면 내 개인정보/민감정보 평문 노출;비밀번호·API 토큰·암호키 평문 노출;저장소·시스템 평문 저장으로 인한 개인정보/기밀 대량 유출;배포·변경 과정에서의 평문 민감정보 노출;평문 노출 반복 발생;백업 데이터 평문 노출"
로그/기록 관리 미흡,"로그(학습·모니터링·추론)에 개인정보 및 민감정보 포함;필수 로그 누락·미생성·오류 발생;로그 위·변조;로그 조기 삭제 또는 미삭제로 인한 보존기간 위반 -> 규제 위반 및법적 제재;테스트/개발 환경에서의 비가명 PII 유포;로그 시각 불일치로 인한 사고 추적 불가;처리내용 기록 누락;학습 자원 기록 누락;변경 추적 불가로 역추적·롤백 실패"
데이터 유출 위험,"장기 보관된 개인정보 침해로 인한 데이터 대량 유출 및 손실 위험;시험(테스트) 환경에서 운영데이터 사용으로 인한 정보 유출;대량 조회·다운로드 관리 미비로 인한 개인정보 유출;라벨링 과정에서 개인정보 유·노출;전송 중 오발송으로 인한 PII 유출;키 관리 미흡으로 인해 키가 유출·재사용되어 데이터 위변조 발생"
개인정보 목적 외 이용,"데이터의 목적 외 이용 및 제3자 제공으로 인한 법령·규제 위반;연구·통계 목적 예외의 오용으로 인한 개인정보의 노출"
데이터 보존/재식별 문제,"만료 데이터 미파기+ @;불완전한 가명처리;가명정보 장기 보관으로 인한 재식별 가능성 및 법적 리스크 증가;파기 정책 미흡에 따른 데이터 무단 보관 및 규제 위반;파기 여부 증빙 불가로 인한 규제 위반;가명정보의 재식별 위험;처리기간 미설정으로 인한 데이터의 무제한 보관;재식별 발생 시, 개인정보에 대한 처리 중지/파기 미실행으로 인한 규제 위반;개인정보의 의도치않은 파기 및 유실로 인한 데이터 확인 불가;보관 목적 혼재"
데이터 노출/암호화 미흡,"버킷 Public 노출;DB·민감 시스템의 공인 IP 노출로 인한 외부 무단 접속 위험;민감정보 외부 전송;인터넷 노출 통한 공격;SSE-KMS 미사용 저장"
민감정보 식별/마스킹 미흡,"민감정보 마스킹 미흡;민감정보 라벨링 부재;민감정보 식별 불가로 인한 접근권한 오남용 및 데이터 유출"
모델 보안/무결성 위협,"민감정보 포함 학습 데이터로 인해 결과 왜곡 및 법적 문제 발생 가능;동의 철회 후 데이터 잔존으로 인한 AI 재학습/데이터 정정 불가 문제 발생;잘못된 개인정보의 미삭제·미수정으로 인한 데이터 무결성 손실;데이터·모델의 무단 변경으로 인한 학습 및 배포 결과의 왜곡;데이터 오염·적대적 예제·모델 추출 공격;구형 모델/데이터가 잔존으로 인한 민감정보 유출 및 취약 모델 재사용 위험"
모니터링/운영 통제 실패,"모니터링 부재로 인한 탐지 공백으로 민감정보 유출;이상행위 탐지 실패;시간 동기화 불일치 장기화;보안 설정 변경 시도 미탐지;로깅 부재로 침해 미탐지;임계치 미정의로 인한 탐지·대응 지연;시정조치 미이행 시 규제 제재 위험;모니터링 실패로 인한 위험 미탐지;자동 차단 오탐으로 서비스 차단;장애 이력 미관리로 인한 동일 장애 반복"
데이터 품질/운영 관리 미흡,"동일 데이터 과도 재사용;재학습에 부적절한 데이터 저장;중복 데이터 저장;중복 지표 저장;컬럼명 불일치;데이터 갭 발생;운영데이터 재사용 여부 미확인;비학습 시스템에 불필요한 데이터 보관·활용;불충분·왜곡된 데이터로 인한 예측 오류;데이터 자산 현황 파악 불가;가명정보 복원(재식별) 위험;정정·삭제 미반영으로 부정확한 PII 유지;백업·복구 실패로 인한 데이터 손실;기계판독 사본 미제공으로 권리 불이행;개선 사항 미적용(지속적 개선 부재);Trigger 과다 호출로 인한 재학습 루프 폭주;검증(평가) 데이터셋 불충분·오염"
데이터 출처 불명확,"데이터 출처 불명확;모델 버전 관리 누락;처리 인벤토리 부정확으로 인한 통제·감사의 무력화;데이터 계보 추적 불가;불법 데이터 소스 사용"
코드/배포 관리 미흡,"코드 변경 추적 불가;미승인 코드 배포;미검증 변경의 프로덕션 반영"
데이터 검증 오류,"스키마 변동 미반영"
임시파일·캐시 관리 미흡,"임시파일·캐시·산출물 관리 미흡으로 인한 개인정보/PII 유출"
접근통제/환경 보안 미흡,"컨테이너 무단 접근·데이터 변조·삭제로 인한 개인정보 손상;민감정보 식별 불가로 인한 접근권한 오남용 및 데이터 유출;개발 및 운영 권한 혼용;퇴사자·휴먼 계정 잔존;불완전한 삭제로 인한 잔존 데이터 노출;식별자 공유·추측으로 인한 계정 도용 및 추적 불가;권한 변경 이력 미기록으로 인한 권한 오남용;개인정보 무단 접근 및 장기보관;테넌트 간 교차 노출"
학습/훈련 기록 관리 미흡, "학습 이력 누락"